Number of solutions: 120

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, D, LUT @ CEN, C, COE @ NWU, B, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, D, WAR @ COE, C, NWU @ LUT, A, 
Week: 6, LOR @ CEN, E, COE @ BVU, D, DBQ @ NWU, C, LUT @ WAR, B, 
Week: 7, NWU @ LOR, D, BVU @ LUT, E, WAR @ DBQ, A, SIM @ COE, B, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, B, CEN @ NWU, A, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, C, WAR @ CEN, B, COE @ LUT, E, 
Week: 1, LOR @ SIM, B, CEN @ BVU, C, DBQ @ COE, A, NWU @ WAR, D, 
Week: 2, COE @ LOR, C, BVU @ NWU, E, LUT @ DBQ, D, SIM @ CEN, A, 
Week: 3, LOR @ LUT, B, WAR @ BVU, A, NWU @ SIM, C, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, E, LUT @ CEN, C, COE @ NWU, B, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, E, WAR @ COE, C, NWU @ LUT, A, 
Week: 6, LOR @ CEN, D, COE @ BVU, E, DBQ @ NWU, C, LUT @ WAR, B, 
Week: 7, NWU @ LOR, E, BVU @ LUT, D, WAR @ DBQ, A, SIM @ COE, B, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, B, CEN @ NWU, A, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, C, WAR @ CEN, D, COE @ LUT, B, 
Week: 1, LOR @ SIM, D, CEN @ BVU, C, DBQ @ COE, A, NWU @ WAR, E, 
Week: 2, COE @ LOR, C, BVU @ NWU, B, LUT @ DBQ, E, SIM @ CEN, A, 
Week: 3, LOR @ LUT, D, WAR @ BVU, A, NWU @ SIM, C, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, B, LUT @ CEN, C, COE @ NWU, D, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, B, WAR @ COE, C, NWU @ LUT, A, 
Week: 6, LOR @ CEN, E, COE @ BVU, B, DBQ @ NWU, C, LUT @ WAR, D, 
Week: 7, NWU @ LOR, B, BVU @ LUT, E, WAR @ DBQ, A, SIM @ COE, D, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, D, CEN @ NWU, A, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, C, WAR @ CEN, D, COE @ LUT, E, 
Week: 1, LOR @ SIM, D, CEN @ BVU, C, DBQ @ COE, A, NWU @ WAR, B, 
Week: 2, COE @ LOR, C, BVU @ NWU, E, LUT @ DBQ, B, SIM @ CEN, A, 
Week: 3, LOR @ LUT, D, WAR @ BVU, A, NWU @ SIM, C, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, E, LUT @ CEN, C, COE @ NWU, D, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, E, WAR @ COE, C, NWU @ LUT, A, 
Week: 6, LOR @ CEN, B, COE @ BVU, E, DBQ @ NWU, C, LUT @ WAR, D, 
Week: 7, NWU @ LOR, E, BVU @ LUT, B, WAR @ DBQ, A, SIM @ COE, D, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, D, CEN @ NWU, A, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, C, WAR @ CEN, E, COE @ LUT, B, 
Week: 1, LOR @ SIM, E, CEN @ BVU, C, DBQ @ COE, A, NWU @ WAR, D, 
Week: 2, COE @ LOR, C, BVU @ NWU, B, LUT @ DBQ, D, SIM @ CEN, A, 
Week: 3, LOR @ LUT, E, WAR @ BVU, A, NWU @ SIM, C, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, B, LUT @ CEN, C, COE @ NWU, E, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, B, WAR @ COE, C, NWU @ LUT, A, 
Week: 6, LOR @ CEN, D, COE @ BVU, B, DBQ @ NWU, C, LUT @ WAR, E, 
Week: 7, NWU @ LOR, B, BVU @ LUT, D, WAR @ DBQ, A, SIM @ COE, E, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, E, CEN @ NWU, A, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, C, WAR @ CEN, E, COE @ LUT, D, 
Week: 1, LOR @ SIM, E, CEN @ BVU, C, DBQ @ COE, A, NWU @ WAR, B, 
Week: 2, COE @ LOR, C, BVU @ NWU, D, LUT @ DBQ, B, SIM @ CEN, A, 
Week: 3, LOR @ LUT, E, WAR @ BVU, A, NWU @ SIM, C, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, D, LUT @ CEN, C, COE @ NWU, E, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, D, WAR @ COE, C, NWU @ LUT, A, 
Week: 6, LOR @ CEN, B, COE @ BVU, D, DBQ @ NWU, C, LUT @ WAR, E, 
Week: 7, NWU @ LOR, D, BVU @ LUT, B, WAR @ DBQ, A, SIM @ COE, E, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, E, CEN @ NWU, A, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, D, WAR @ CEN, B, COE @ LUT, C, 
Week: 1, LOR @ SIM, B, CEN @ BVU, D, DBQ @ COE, A, NWU @ WAR, E, 
Week: 2, COE @ LOR, D, BVU @ NWU, C, LUT @ DBQ, E, SIM @ CEN, A, 
Week: 3, LOR @ LUT, B, WAR @ BVU, A, NWU @ SIM, D, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, C, LUT @ CEN, D, COE @ NWU, B, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, C, WAR @ COE, D, NWU @ LUT, A, 
Week: 6, LOR @ CEN, E, COE @ BVU, C, DBQ @ NWU, D, LUT @ WAR, B, 
Week: 7, NWU @ LOR, C, BVU @ LUT, E, WAR @ DBQ, A, SIM @ COE, B, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, B, CEN @ NWU, A, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, D, WAR @ CEN, B, COE @ LUT, E, 
Week: 1, LOR @ SIM, B, CEN @ BVU, D, DBQ @ COE, A, NWU @ WAR, C, 
Week: 2, COE @ LOR, D, BVU @ NWU, E, LUT @ DBQ, C, SIM @ CEN, A, 
Week: 3, LOR @ LUT, B, WAR @ BVU, A, NWU @ SIM, D, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, E, LUT @ CEN, D, COE @ NWU, B, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, E, WAR @ COE, D, NWU @ LUT, A, 
Week: 6, LOR @ CEN, C, COE @ BVU, E, DBQ @ NWU, D, LUT @ WAR, B, 
Week: 7, NWU @ LOR, E, BVU @ LUT, C, WAR @ DBQ, A, SIM @ COE, B, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, B, CEN @ NWU, A, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, D, WAR @ CEN, C, COE @ LUT, B, 
Week: 1, LOR @ SIM, C, CEN @ BVU, D, DBQ @ COE, A, NWU @ WAR, E, 
Week: 2, COE @ LOR, D, BVU @ NWU, B, LUT @ DBQ, E, SIM @ CEN, A, 
Week: 3, LOR @ LUT, C, WAR @ BVU, A, NWU @ SIM, D, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, B, LUT @ CEN, D, COE @ NWU, C, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, B, WAR @ COE, D, NWU @ LUT, A, 
Week: 6, LOR @ CEN, E, COE @ BVU, B, DBQ @ NWU, D, LUT @ WAR, C, 
Week: 7, NWU @ LOR, B, BVU @ LUT, E, WAR @ DBQ, A, SIM @ COE, C, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, C, CEN @ NWU, A, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, D, WAR @ CEN, C, COE @ LUT, E, 
Week: 1, LOR @ SIM, C, CEN @ BVU, D, DBQ @ COE, A, NWU @ WAR, B, 
Week: 2, COE @ LOR, D, BVU @ NWU, E, LUT @ DBQ, B, SIM @ CEN, A, 
Week: 3, LOR @ LUT, C, WAR @ BVU, A, NWU @ SIM, D, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, E, LUT @ CEN, D, COE @ NWU, C, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, E, WAR @ COE, D, NWU @ LUT, A, 
Week: 6, LOR @ CEN, B, COE @ BVU, E, DBQ @ NWU, D, LUT @ WAR, C, 
Week: 7, NWU @ LOR, E, BVU @ LUT, B, WAR @ DBQ, A, SIM @ COE, C, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, C, CEN @ NWU, A, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, D, WAR @ CEN, E, COE @ LUT, B, 
Week: 1, LOR @ SIM, E, CEN @ BVU, D, DBQ @ COE, A, NWU @ WAR, C, 
Week: 2, COE @ LOR, D, BVU @ NWU, B, LUT @ DBQ, C, SIM @ CEN, A, 
Week: 3, LOR @ LUT, E, WAR @ BVU, A, NWU @ SIM, D, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, B, LUT @ CEN, D, COE @ NWU, E, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, B, WAR @ COE, D, NWU @ LUT, A, 
Week: 6, LOR @ CEN, C, COE @ BVU, B, DBQ @ NWU, D, LUT @ WAR, E, 
Week: 7, NWU @ LOR, B, BVU @ LUT, C, WAR @ DBQ, A, SIM @ COE, E, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, E, CEN @ NWU, A, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, D, WAR @ CEN, E, COE @ LUT, C, 
Week: 1, LOR @ SIM, E, CEN @ BVU, D, DBQ @ COE, A, NWU @ WAR, B, 
Week: 2, COE @ LOR, D, BVU @ NWU, C, LUT @ DBQ, B, SIM @ CEN, A, 
Week: 3, LOR @ LUT, E, WAR @ BVU, A, NWU @ SIM, D, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, C, LUT @ CEN, D, COE @ NWU, E, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, C, WAR @ COE, D, NWU @ LUT, A, 
Week: 6, LOR @ CEN, B, COE @ BVU, C, DBQ @ NWU, D, LUT @ WAR, E, 
Week: 7, NWU @ LOR, C, BVU @ LUT, B, WAR @ DBQ, A, SIM @ COE, E, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, E, CEN @ NWU, A, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, E, WAR @ CEN, B, COE @ LUT, C, 
Week: 1, LOR @ SIM, B, CEN @ BVU, E, DBQ @ COE, A, NWU @ WAR, D, 
Week: 2, COE @ LOR, E, BVU @ NWU, C, LUT @ DBQ, D, SIM @ CEN, A, 
Week: 3, LOR @ LUT, B, WAR @ BVU, A, NWU @ SIM, E, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, C, LUT @ CEN, E, COE @ NWU, B, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, C, WAR @ COE, E, NWU @ LUT, A, 
Week: 6, LOR @ CEN, D, COE @ BVU, C, DBQ @ NWU, E, LUT @ WAR, B, 
Week: 7, NWU @ LOR, C, BVU @ LUT, D, WAR @ DBQ, A, SIM @ COE, B, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, B, CEN @ NWU, A, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, E, WAR @ CEN, B, COE @ LUT, D, 
Week: 1, LOR @ SIM, B, CEN @ BVU, E, DBQ @ COE, A, NWU @ WAR, C, 
Week: 2, COE @ LOR, E, BVU @ NWU, D, LUT @ DBQ, C, SIM @ CEN, A, 
Week: 3, LOR @ LUT, B, WAR @ BVU, A, NWU @ SIM, E, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, D, LUT @ CEN, E, COE @ NWU, B, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, D, WAR @ COE, E, NWU @ LUT, A, 
Week: 6, LOR @ CEN, C, COE @ BVU, D, DBQ @ NWU, E, LUT @ WAR, B, 
Week: 7, NWU @ LOR, D, BVU @ LUT, C, WAR @ DBQ, A, SIM @ COE, B, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, B, CEN @ NWU, A, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, E, WAR @ CEN, C, COE @ LUT, B, 
Week: 1, LOR @ SIM, C, CEN @ BVU, E, DBQ @ COE, A, NWU @ WAR, D, 
Week: 2, COE @ LOR, E, BVU @ NWU, B, LUT @ DBQ, D, SIM @ CEN, A, 
Week: 3, LOR @ LUT, C, WAR @ BVU, A, NWU @ SIM, E, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, B, LUT @ CEN, E, COE @ NWU, C, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, B, WAR @ COE, E, NWU @ LUT, A, 
Week: 6, LOR @ CEN, D, COE @ BVU, B, DBQ @ NWU, E, LUT @ WAR, C, 
Week: 7, NWU @ LOR, B, BVU @ LUT, D, WAR @ DBQ, A, SIM @ COE, C, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, C, CEN @ NWU, A, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, E, WAR @ CEN, C, COE @ LUT, D, 
Week: 1, LOR @ SIM, C, CEN @ BVU, E, DBQ @ COE, A, NWU @ WAR, B, 
Week: 2, COE @ LOR, E, BVU @ NWU, D, LUT @ DBQ, B, SIM @ CEN, A, 
Week: 3, LOR @ LUT, C, WAR @ BVU, A, NWU @ SIM, E, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, D, LUT @ CEN, E, COE @ NWU, C, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, D, WAR @ COE, E, NWU @ LUT, A, 
Week: 6, LOR @ CEN, B, COE @ BVU, D, DBQ @ NWU, E, LUT @ WAR, C, 
Week: 7, NWU @ LOR, D, BVU @ LUT, B, WAR @ DBQ, A, SIM @ COE, C, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, C, CEN @ NWU, A, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, E, WAR @ CEN, D, COE @ LUT, B, 
Week: 1, LOR @ SIM, D, CEN @ BVU, E, DBQ @ COE, A, NWU @ WAR, C, 
Week: 2, COE @ LOR, E, BVU @ NWU, B, LUT @ DBQ, C, SIM @ CEN, A, 
Week: 3, LOR @ LUT, D, WAR @ BVU, A, NWU @ SIM, E, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, B, LUT @ CEN, E, COE @ NWU, D, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, B, WAR @ COE, E, NWU @ LUT, A, 
Week: 6, LOR @ CEN, C, COE @ BVU, B, DBQ @ NWU, E, LUT @ WAR, D, 
Week: 7, NWU @ LOR, B, BVU @ LUT, C, WAR @ DBQ, A, SIM @ COE, D, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, D, CEN @ NWU, A, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, E, WAR @ CEN, D, COE @ LUT, C, 
Week: 1, LOR @ SIM, D, CEN @ BVU, E, DBQ @ COE, A, NWU @ WAR, B, 
Week: 2, COE @ LOR, E, BVU @ NWU, C, LUT @ DBQ, B, SIM @ CEN, A, 
Week: 3, LOR @ LUT, D, WAR @ BVU, A, NWU @ SIM, E, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, C, LUT @ CEN, E, COE @ NWU, D, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, C, WAR @ COE, E, NWU @ LUT, A, 
Week: 6, LOR @ CEN, B, COE @ BVU, C, DBQ @ NWU, E, LUT @ WAR, D, 
Week: 7, NWU @ LOR, C, BVU @ LUT, B, WAR @ DBQ, A, SIM @ COE, D, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, D, CEN @ NWU, A, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, A, WAR @ CEN, C, COE @ LUT, D, 
Week: 1, LOR @ SIM, C, CEN @ BVU, A, DBQ @ COE, B, NWU @ WAR, E, 
Week: 2, COE @ LOR, A, BVU @ NWU, D, LUT @ DBQ, E, SIM @ CEN, B, 
Week: 3, LOR @ LUT, C, WAR @ BVU, B, NWU @ SIM, A, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, D, LUT @ CEN, A, COE @ NWU, C, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, D, WAR @ COE, A, NWU @ LUT, B, 
Week: 6, LOR @ CEN, E, COE @ BVU, D, DBQ @ NWU, A, LUT @ WAR, C, 
Week: 7, NWU @ LOR, D, BVU @ LUT, E, WAR @ DBQ, B, SIM @ COE, C, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, C, CEN @ NWU, B, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, A, WAR @ CEN, C, COE @ LUT, E, 
Week: 1, LOR @ SIM, C, CEN @ BVU, A, DBQ @ COE, B, NWU @ WAR, D, 
Week: 2, COE @ LOR, A, BVU @ NWU, E, LUT @ DBQ, D, SIM @ CEN, B, 
Week: 3, LOR @ LUT, C, WAR @ BVU, B, NWU @ SIM, A, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, E, LUT @ CEN, A, COE @ NWU, C, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, E, WAR @ COE, A, NWU @ LUT, B, 
Week: 6, LOR @ CEN, D, COE @ BVU, E, DBQ @ NWU, A, LUT @ WAR, C, 
Week: 7, NWU @ LOR, E, BVU @ LUT, D, WAR @ DBQ, B, SIM @ COE, C, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, C, CEN @ NWU, B, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, A, WAR @ CEN, D, COE @ LUT, C, 
Week: 1, LOR @ SIM, D, CEN @ BVU, A, DBQ @ COE, B, NWU @ WAR, E, 
Week: 2, COE @ LOR, A, BVU @ NWU, C, LUT @ DBQ, E, SIM @ CEN, B, 
Week: 3, LOR @ LUT, D, WAR @ BVU, B, NWU @ SIM, A, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, C, LUT @ CEN, A, COE @ NWU, D, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, C, WAR @ COE, A, NWU @ LUT, B, 
